N,P,K,temperature,humidity,ph,rainfall,label
98.00,44.00,21.00,25.77,74.09,6.52,107.49,maize
75.00,56.00,18.00,19.40,62.36,5.70,60.95,maize
86.00,55.00,21.00,21.54,59.64,6.80,109.75,maize
98.00,35.00,18.00,23.80,74.83,6.25,91.76,maize
76.00,57.00,18.00,18.98,74.53,6.09,94.26,maize
99.00,56.00,17.00,24.11,73.13,6.23,71.08,maize
60.00,44.00,23.00,24.79,70.05,5.72,76.73,maize
74.00,48.00,17.00,21.63,60.28,6.43,69.22,maize
89.00,60.00,17.00,25.38,57.21,5.98,101.70,maize
69.00,51.00,23.00,22.22,72.85,6.80,106.62,maize
96.00,46.00,22.00,20.58,69.00,6.50,66.29,maize
61.00,60.00,15.00,24.88,68.74,6.27,91.26,maize
74.00,58.00,18.00,20.04,56.36,6.73,109.02,maize
74.00,43.00,23.00,25.95,61.89,6.33,99.58,maize
63.00,43.00,17.00,19.29,65.47,6.81,71.32,maize
99.00,36.00,20.00,20.58,65.35,6.67,78.35,maize
77.00,36.00,23.00,24.71,56.73,6.65,88.45,maize
87.00,60.00,23.00,20.27,63.91,6.44,62.50,maize
60.00,38.00,17.00,18.42,64.24,6.47,76.41,maize
94.00,54.00,17.00,23.39,61.74,5.87,107.32,maize
95.00,38.00,22.00,19.85,61.25,5.73,100.77,maize
84.00,44.00,21.00,21.87,61.91,5.85,107.27,maize
77.00,58.00,19.00,22.81,56.51,5.79,101.60,maize
66.00,44.00,20.00,19.08,69.02,6.74,80.73,maize
63.00,35.00,16.00,22.03,65.36,6.27,83.73,maize
79.00,45.00,20.00,23.81,59.25,5.72,89.96,maize
72.00,60.00,25.00,18.53,69.03,5.77,88.10,maize
67.00,51.00,24.00,23.50,61.32,5.58,64.78,maize
86.00,36.00,24.00,26.55,72.89,5.79,73.34,maize
76.00,48.00,18.00,19.30,69.63,5.78,83.21,maize
75.00,53.00,18.00,20.69,59.44,6.86,103.65,maize
81.00,45.00,23.00,19.33,68.03,6.19,84.23,maize
73.00,45.00,21.00,24.61,73.59,6.64,96.59,maize
71.00,35.00,24.00,22.27,59.52,5.83,67.97,maize
96.00,54.00,22.00,25.70,61.33,6.96,83.21,maize
99.00,39.00,18.00,19.20,68.31,6.11,87.85,maize
62.00,48.00,20.00,21.70,60.47,6.71,95.71,maize
86.00,37.00,16.00,20.52,59.21,5.56,67.61,maize
94.00,50.00,19.00,23.30,73.63,5.87,97.59,maize
76.00,39.00,24.00,24.25,55.65,7.00,64.24,maize
77.00,52.00,17.00,24.86,65.74,5.71,75.82,maize
74.00,39.00,23.00,22.63,65.77,6.78,88.17,maize
81.00,49.00,20.00,18.04,60.61,5.51,104.23,maize
63.00,42.00,21.00,23.26,72.33,5.80,67.10,maize
99.00,38.00,21.00,22.88,71.60,6.35,67.73,maize
90.00,52.00,25.00,25.97,69.36,6.82,103.22,maize
68.00,40.00,19.00,26.14,66.21,6.66,107.24,maize
60.00,57.00,24.00,18.66,61.55,6.12,75.03,maize
71.00,52.00,18.00,25.11,55.98,5.79,78.16,maize
61.00,59.00,17.00,23.34,59.25,6.47,105.01,maize
88.00,38.00,15.00,25.08,65.92,6.46,62.49,maize
65.00,60.00,22.00,25.37,72.52,6.61,107.91,maize
78.00,37.00,22.00,25.34,63.32,6.33,74.52,maize
78.00,58.00,15.00,25.01,67.82,6.53,62.91,maize
92.00,60.00,23.00,18.67,71.52,5.72,69.93,maize
79.00,59.00,17.00,20.38,63.74,6.64,108.51,maize
91.00,55.00,15.00,18.09,72.61,6.38,78.96,maize
76.00,51.00,18.00,26.17,71.96,6.25,79.85,maize
87.00,48.00,25.00,18.65,61.38,6.66,93.62,maize
71.00,60.00,22.00,26.07,59.37,6.20,85.76,maize
90.00,57.00,24.00,18.93,72.80,6.16,82.34,maize
67.00,35.00,22.00,23.31,63.25,6.39,108.76,maize
60.00,54.00,19.00,18.75,62.50,6.42,70.23,maize
83.00,58.00,23.00,19.74,59.66,6.38,65.51,maize
83.00,57.00,19.00,25.73,70.75,6.88,98.74,maize
40.00,72.00,77.00,17.02,16.99,7.49,88.55,chickpea
23.00,72.00,84.00,19.02,17.13,6.92,79.93,chickpea
39.00,58.00,85.00,17.89,15.41,6.00,68.55,chickpea
22.00,72.00,85.00,18.87,15.66,6.39,88.51,chickpea
36.00,67.00,77.00,18.37,19.56,7.15,79.26,chickpea
32.00,73.00,81.00,20.45,15.40,5.99,92.68,chickpea
58.00,70.00,84.00,20.65,16.61,6.23,74.66,chickpea
59.00,70.00,84.00,17.33,18.75,7.55,82.62,chickpea
42.00,62.00,75.00,18.18,18.90,7.01,81.85,chickpea
28.00,74.00,81.00,18.01,18.31,8.75,81.99,chickpea
58.00,66.00,79.00,20.99,19.33,8.72,93.55,chickpea
43.00,66.00,79.00,19.46,15.23,7.98,74.59,chickpea
58.00,63.00,81.00,19.81,14.70,6.52,78.97,chickpea
23.00,62.00,85.00,18.97,19.52,8.49,80.71,chickpea
27.00,62.00,77.00,18.20,14.71,6.58,70.18,chickpea
28.00,72.00,84.00,18.73,19.18,6.48,71.58,chickpea
50.00,56.00,76.00,21.00,19.86,7.97,73.51,chickpea
39.00,71.00,84.00,20.28,16.40,8.14,82.52,chickpea
25.00,78.00,76.00,17.48,15.76,7.23,66.97,chickpea
31.00,70.00,77.00,20.89,14.32,6.49,90.46,chickpea
26.00,80.00,83.00,17.08,16.15,7.53,71.31,chickpea
25.00,68.00,77.00,20.09,15.11,7.70,85.75,chickpea
31.00,78.00,76.00,17.57,15.00,8.52,89.31,chickpea
60.00,68.00,83.00,19.12,18.43,6.62,85.53,chickpea
59.00,62.00,83.00,18.58,19.22,8.10,72.95,chickpea
22.00,67.00,78.00,17.17,14.42,6.20,72.33,chickpea
36.00,65.00,80.00,18.29,16.68,6.05,74.87,chickpea
59.00,60.00,84.00,19.03,18.67,7.69,94.71,chickpea
54.00,77.00,85.00,17.14,17.07,7.83,83.75,chickpea
43.00,68.00,81.00,17.48,17.93,6.76,78.92,chickpea
28.00,76.00,82.00,20.57,14.26,6.65,83.76,chickpea
42.00,79.00,85.00,17.22,15.82,6.13,76.58,chickpea
32.00,60.00,83.00,19.69,19.44,8.83,91.76,chickpea
22.00,78.00,76.00,17.85,19.09,8.62,76.32,chickpea
31.00,79.00,75.00,18.82,16.11,8.20,89.73,chickpea
28.00,58.00,81.00,17.48,16.54,6.18,93.35,chickpea
57.00,58.00,77.00,18.73,17.58,7.98,81.20,chickpea
49.00,55.00,78.00,18.66,16.18,7.86,81.71,chickpea
46.00,76.00,77.00,18.24,19.69,6.97,83.75,chickpea
54.00,61.00,77.00,18.81,15.22,6.21,77.54,chickpea
38.00,60.00,76.00,18.65,17.81,8.87,77.93,chickpea
59.00,55.00,79.00,20.37,16.90,8.77,82.25,chickpea
36.00,76.00,75.00,18.38,16.64,8.74,70.52,chickpea
57.00,68.00,81.00,17.17,17.30,8.08,72.79,chickpea
35.00,66.00,81.00,19.37,15.77,6.14,85.25,chickpea
35.00,64.00,78.00,17.93,14.27,7.50,85.37,chickpea
52.00,60.00,79.00,19.45,18.23,8.38,75.63,chickpea
27.00,76.00,83.00,19.13,14.92,6.29,89.62,chickpea
57.00,60.00,84.00,19.10,17.26,6.59,75.49,chickpea
52.00,68.00,78.00,17.49,16.96,6.90,86.05,chickpea
43.00,79.00,79.00,19.41,18.98,7.81,80.25,chickpea
44.00,74.00,85.00,20.19,19.64,7.15,78.26,chickpea
24.00,55.00,78.00,17.30,15.15,6.65,75.58,chickpea
29.00,77.00,75.00,17.50,15.48,7.78,72.94,chickpea
20.00,60.00,78.00,18.17,14.70,6.36,90.78,chickpea
56.00,67.00,78.00,17.57,16.72,8.26,77.82,chickpea
37.00,66.00,85.00,20.93,18.91,6.46,78.07,chickpea
49.00,71.00,76.00,19.71,17.64,6.61,85.58,chickpea
59.00,69.00,80.00,19.08,17.87,8.17,69.41,chickpea
20.00,79.00,77.00,18.55,16.03,7.65,76.33,chickpea
24.00,56.00,85.00,18.20,17.41,6.55,80.64,chickpea
51.00,72.00,75.00,18.89,14.99,7.10,80.11,chickpea
57.00,73.00,85.00,18.49,14.72,7.36,91.95,chickpea
22.00,64.00,82.00,19.49,17.17,6.47,87.51,chickpea
52.00,73.00,79.00,17.26,18.75,7.84,94.00,chickpea
29.00,75.00,75.00,19.62,18.71,7.06,88.46,chickpea
44.00,59.00,78.00,20.68,19.85,7.60,84.78,chickpea
41.00,69.00,82.00,20.02,16.63,6.72,68.98,chickpea
52.00,56.00,85.00,20.12,14.44,6.82,88.68,chickpea
34.00,76.00,80.00,20.66,15.85,7.99,65.24,chickpea
42.00,74.00,83.00,19.26,14.28,7.55,65.78,chickpea
34.00,71.00,79.00,17.93,15.86,7.73,74.64,chickpea
27.00,73.00,79.00,19.16,15.84,7.35,82.70,chickpea
30.00,70.00,79.00,20.27,19.97,7.31,69.64,chickpea
57.00,57.00,75.00,17.09,18.25,7.79,87.27,chickpea
27.00,79.00,82.00,17.07,17.54,6.31,70.87,chickpea
32.00,71.00,85.00,20.63,14.44,6.40,92.07,chickpea
31.00,76.00,82.00,20.82,17.85,7.60,79.21,chickpea
33.00,75.00,84.00,19.46,18.73,7.22,68.81,chickpea
47.00,80.00,77.00,17.18,16.43,7.56,72.85,chickpea
54.00,62.00,80.00,17.49,16.39,7.49,79.46,chickpea
47.00,79.00,78.00,17.48,14.76,6.61,65.11,chickpea
35.00,57.00,83.00,19.48,17.45,7.48,80.50,chickpea
53.00,73.00,77.00,19.71,18.10,7.33,73.64,chickpea
45.00,61.00,78.00,19.49,16.06,6.49,81.53,chickpea
37.00,78.00,79.00,19.95,14.83,7.79,88.68,chickpea
30.00,75.00,81.00,19.42,16.80,6.41,68.50,chickpea
37.00,55.00,82.00,19.46,18.02,8.42,78.45,chickpea
53.00,65.00,76.00,20.19,16.42,8.72,77.34,chickpea
22.00,60.00,85.00,18.84,14.74,7.81,94.78,chickpea
60.00,61.00,78.00,20.71,19.84,6.32,94.04,chickpea
42.00,67.00,77.00,18.99,15.94,7.11,78.70,chickpea
39.00,76.00,76.00,19.97,15.57,8.14,69.16,chickpea
35.00,63.00,76.00,17.82,17.61,7.71,90.82,chickpea
30.00,65.00,82.00,20.71,15.28,7.10,76.78,chickpea
57.00,56.00,78.00,17.34,18.76,8.86,67.95,chickpea
48.00,65.00,78.00,17.44,14.34,7.86,73.09,chickpea
36.00,56.00,83.00,18.90,19.76,7.45,69.10,chickpea
40.00,58.00,75.00,18.59,14.78,7.17,89.61,chickpea
49.00,69.00,82.00,18.32,15.36,7.26,81.79,chickpea
13.00,60.00,25.00,17.14,20.60,5.69,128.26,kidneybeans
25.00,70.00,16.00,19.63,18.91,5.76,106.36,kidneybeans
31.00,55.00,22.00,22.91,21.34,5.87,109.23,kidneybeans
40.00,64.00,16.00,16.43,24.24,5.93,140.37,kidneybeans
2.00,61.00,20.00,22.14,23.02,5.96,76.64,kidneybeans
26.00,65.00,22.00,17.85,18.78,5.95,143.10,kidneybeans
17.00,57.00,21.00,19.88,20.32,5.79,60.92,kidneybeans
26.00,80.00,18.00,19.33,23.33,5.58,104.78,kidneybeans
17.00,59.00,17.00,18.42,23.43,5.69,132.98,kidneybeans
27.00,59.00,22.00,21.81,23.21,5.79,130.06,kidneybeans
28.00,58.00,24.00,19.73,18.28,5.75,143.76,kidneybeans
25.00,57.00,19.00,17.15,19.87,5.57,88.00,kidneybeans
28.00,80.00,17.00,19.62,18.67,5.81,144.16,kidneybeans
25.00,60.00,22.00,21.63,21.18,5.89,134.36,kidneybeans
12.00,78.00,23.00,16.07,18.72,6.00,88.07,kidneybeans
6.00,77.00,25.00,20.61,24.36,5.79,69.64,kidneybeans
22.00,79.00,17.00,21.42,20.40,5.91,116.52,kidneybeans
27.00,80.00,15.00,19.07,21.21,5.79,86.22,kidneybeans
10.00,55.00,23.00,21.19,19.63,5.73,137.19,kidneybeans
23.00,65.00,20.00,23.04,22.43,5.83,108.37,kidneybeans
19.00,78.00,16.00,20.65,23.11,5.97,67.72,kidneybeans
19.00,65.00,25.00,18.10,18.29,5.63,144.79,kidneybeans
22.00,70.00,19.00,18.24,21.08,5.52,69.45,kidneybeans
37.00,64.00,22.00,17.48,18.83,5.95,121.94,kidneybeans
11.00,71.00,17.00,19.92,21.47,5.75,82.69,kidneybeans
18.00,79.00,20.00,20.28,23.24,5.88,139.75,kidneybeans
21.00,63.00,17.00,15.77,19.23,5.98,108.34,kidneybeans
24.00,80.00,22.00,16.71,19.18,5.64,96.77,kidneybeans
34.00,60.00,22.00,17.66,18.15,5.64,100.67,kidneybeans
16.00,75.00,21.00,18.51,23.62,5.68,87.05,kidneybeans
17.00,77.00,23.00,24.51,20.82,5.67,64.19,kidneybeans
37.00,72.00,18.00,18.88,24.54,5.72,105.41,kidneybeans
40.00,73.00,20.00,21.59,20.32,5.81,61.14,kidneybeans
9.00,77.00,17.00,20.12,24.45,5.78,106.16,kidneybeans
1.00,62.00,23.00,15.44,18.37,5.61,139.03,kidneybeans
33.00,59.00,22.00,22.64,21.59,5.95,122.39,kidneybeans
23.00,59.00,19.00,21.99,24.87,5.85,129.57,kidneybeans
6.00,62.00,22.00,20.53,18.09,5.82,120.45,kidneybeans
25.00,63.00,20.00,15.79,21.15,5.50,95.17,kidneybeans
7.00,79.00,23.00,19.64,19.69,5.82,96.66,kidneybeans
8.00,72.00,17.00,20.57,19.75,5.71,87.88,kidneybeans
27.00,64.00,15.00,20.16,24.84,5.51,138.24,kidneybeans
28.00,66.00,23.00,21.54,24.25,6.00,120.69,kidneybeans
32.00,57.00,18.00,15.54,23.76,5.70,107.39,kidneybeans
27.00,56.00,22.00,19.92,20.70,5.83,108.64,kidneybeans
17.00,77.00,24.00,20.77,18.93,5.57,109.02,kidneybeans
0.00,65.00,15.00,23.46,23.22,5.65,95.84,kidneybeans
13.00,72.00,21.00,24.32,21.03,5.82,60.28,kidneybeans
34.00,60.00,23.00,20.13,24.97,5.66,100.05,kidneybeans
9.00,80.00,19.00,21.81,18.57,5.95,125.10,kidneybeans
11.00,72.00,20.00,19.52,24.93,5.95,113.33,kidneybeans
3.00,67.00,24.00,17.00,19.91,5.52,103.29,kidneybeans
35.00,69.00,23.00,16.79,24.97,5.58,75.45,kidneybeans
3.00,77.00,25.00,24.85,22.89,5.61,62.21,kidneybeans
23.00,62.00,19.00,16.52,20.46,5.61,98.78,kidneybeans
22.00,71.00,17.00,18.15,19.39,5.51,107.69,kidneybeans
31.00,79.00,25.00,23.19,22.31,5.90,63.38,kidneybeans
34.00,59.00,18.00,23.38,21.99,5.74,87.67,kidneybeans
12.00,63.00,17.00,18.36,19.38,5.72,138.41,kidneybeans
27.00,56.00,20.00,19.26,20.51,5.54,94.95,kidneybeans
7.00,63.00,24.00,22.95,24.04,5.86,107.73,kidneybeans
24.00,67.00,22.00,20.12,22.90,5.62,104.63,kidneybeans
11.00,71.00,24.00,21.14,22.72,5.61,141.61,kidneybeans
37.00,74.00,15.00,24.92,18.23,5.58,62.71,kidneybeans
25.00,76.00,24.00,15.33,24.92,5.57,135.33,kidneybeans
34.00,66.00,17.00,18.81,21.28,5.89,125.08,kidneybeans
20.00,69.00,15.00,23.44,22.77,5.93,107.41,kidneybeans
37.00,65.00,16.00,22.84,18.97,5.68,63.59,kidneybeans
18.00,74.00,15.00,24.90,22.28,5.71,146.47,kidneybeans
4.00,67.00,25.00,23.79,24.36,5.95,119.64,kidneybeans
37.00,56.00,25.00,22.06,19.60,5.77,126.73,kidneybeans
5.00,59.00,15.00,18.87,20.18,5.97,134.18,kidneybeans
11.00,61.00,21.00,18.62,23.02,5.53,135.34,kidneybeans
22.00,80.00,20.00,23.01,18.87,5.67,100.12,kidneybeans
12.00,61.00,19.00,19.33,24.14,5.66,68.51,kidneybeans
5.00,74.00,21.00,16.24,21.36,5.59,66.97,kidneybeans
27.00,69.00,22.00,17.92,24.91,5.93,69.15,kidneybeans
31.00,75.00,18.00,15.47,21.44,5.82,88.89,kidneybeans
36.00,68.00,20.00,17.06,23.77,5.86,81.83,kidneybeans
5.00,65.00,16.00,21.33,18.49,5.87,109.10,kidneybeans
32.00,79.00,15.00,23.91,20.75,5.71,81.60,kidneybeans
11.00,78.00,22.00,23.90,22.74,5.94,112.66,kidneybeans
0.00,55.00,22.00,22.99,20.58,5.92,143.86,kidneybeans
14.00,59.00,15.00,21.35,22.91,5.78,146.45,kidneybeans
29.00,68.00,23.00,24.16,19.28,5.83,116.73,kidneybeans
32.00,68.00,19.00,24.63,18.18,5.51,149.74,kidneybeans
17.00,64.00,17.00,21.02,24.94,5.66,124.61,kidneybeans
13.00,69.00,19.00,17.31,20.02,5.86,115.20,kidneybeans
14.00,67.00,22.00,23.83,24.75,5.62,84.64,kidneybeans
9.00,69.00,20.00,19.31,23.96,5.59,129.34,kidneybeans
20.00,73.00,22.00,16.04,22.33,5.98,130.39,kidneybeans
40.00,78.00,20.00,19.19,20.83,5.67,80.15,kidneybeans
27.00,72.00,23.00,19.93,21.80,5.96,64.03,kidneybeans
14.00,67.00,15.00,19.56,24.67,5.69,139.29,kidneybeans
7.00,56.00,18.00,18.31,24.33,5.70,76.14,kidneybeans
27.00,65.00,18.00,20.11,23.22,5.60,73.36,kidneybeans
30.00,63.00,16.00,23.61,21.91,5.53,100.60,kidneybeans
37.00,70.00,25.00,19.73,24.89,5.82,84.06,kidneybeans
27.00,63.00,19.00,20.93,21.19,5.56,133.19,kidneybeans
22.00,60.00,24.00,18.78,20.25,5.63,104.26,kidneybeans
3.00,72.00,24.00,36.51,57.93,6.03,122.65,pigeonpeas
40.00,59.00,23.00,36.89,62.73,5.27,163.73,pigeonpeas
33.00,73.00,23.00,29.24,59.39,5.99,103.33,pigeonpeas
27.00,57.00,24.00,27.34,43.36,6.09,142.33,pigeonpeas
10.00,79.00,18.00,21.06,55.47,5.62,184.62,pigeonpeas
30.00,75.00,25.00,30.33,42.35,6.45,149.30,pigeonpeas
40.00,70.00,20.00,31.80,45.03,5.62,147.04,pigeonpeas
38.00,55.00,19.00,33.18,38.23,5.86,198.83,pigeonpeas
35.00,58.00,20.00,29.39,63.48,5.76,90.05,pigeonpeas
38.00,61.00,21.00,30.27,67.39,4.70,127.78,pigeonpeas
33.00,58.00,24.00,35.46,68.76,5.27,108.63,pigeonpeas
16.00,56.00,17.00,33.80,40.03,7.45,176.62,pigeonpeas
31.00,72.00,17.00,28.69,49.47,5.83,96.36,pigeonpeas
16.00,80.00,20.00,31.24,56.67,7.34,122.01,pigeonpeas
27.00,72.00,17.00,28.98,57.23,6.35,120.74,pigeonpeas
40.00,62.00,19.00,27.32,34.14,4.70,96.52,pigeonpeas
18.00,58.00,16.00,21.48,38.80,4.96,180.38,pigeonpeas
3.00,68.00,16.00,18.32,34.70,4.96,107.47,pigeonpeas
26.00,67.00,24.00,36.98,37.74,5.64,161.48,pigeonpeas
16.00,70.00,20.00,24.80,40.12,5.61,121.56,pigeonpeas
24.00,63.00,19.00,19.35,55.97,4.68,194.59,pigeonpeas
9.00,76.00,25.00,28.88,50.12,5.71,179.22,pigeonpeas
16.00,55.00,19.00,19.54,47.19,6.41,192.44,pigeonpeas
28.00,75.00,21.00,24.77,50.55,6.01,114.28,pigeonpeas
16.00,71.00,24.00,18.33,38.41,4.95,139.65,pigeonpeas
24.00,70.00,21.00,19.15,45.37,5.52,132.77,pigeonpeas
